Demand for PJM Interconnection LLC (PJM) American Electric Power zone hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390296&sdid=EBA.PJM-AEP.D.H
19:27:58 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.PJM-AEP.D.H megawatthours
10/5/2022 08H,11596
10/5/2022 07H,11442
10/5/2022 06H,11616
10/5/2022 05H,11694
10/5/2022 04H,12126
10/5/2022 03H,12723
10/5/2022 02H,13330
10/5/2022 01H,13738
10/5/2022 00H,13494
10/4/2022 23H,13100
10/4/2022 22H,13124
10/4/2022 21H,13071
10/4/2022 20H,13027
10/4/2022 19H,13076
10/4/2022 18H,13229
10/4/2022 17H,13311
10/4/2022 16H,13385
10/4/2022 15H,13660
10/4/2022 14H,13929
10/4/2022 13H,14278
10/4/2022 12H,14323
10/4/2022 11H,13716
10/4/2022 10H,12502
10/4/2022 09H,11909
10/4/2022 08H,11566
10/4/2022 07H,11537
10/4/2022 06H,11619
10/4/2022 05H,11643
10/4/2022 04H,12069
10/4/2022 03H,12572
10/4/2022 02H,13180
10/4/2022 01H,13545
10/4/2022 00H,13565
10/3/2022 23H,13235
10/3/2022 22H,13136
10/3/2022 21H,13167
10/3/2022 20H,13018
10/3/2022 19H,13278
10/3/2022 18H,13375
10/3/2022 17H,13449
10/3/2022 16H,13422
10/3/2022 15H,13656
10/3/2022 14H,13719
10/3/2022 13H,13767
10/3/2022 12H,13667
10/3/2022 11H,12998
10/3/2022 10H,11861
10/3/2022 09H,11200
10/3/2022 08H,11036
10/3/2022 07H,10829
10/3/2022 06H,10987
10/3/2022 05H,10978
10/3/2022 04H,11350
10/3/2022 03H,11892
10/3/2022 02H,12485
10/3/2022 01H,12979
10/3/2022 00H,12965
10/2/2022 23H,12596
10/2/2022 22H,12427
10/2/2022 21H,12210
10/2/2022 20H,12077
10/2/2022 19H,12074
10/2/2022 18H,12105
10/2/2022 17H,12074
10/2/2022 16H,11984
10/2/2022 15H,11943
10/2/2022 14H,11785
10/2/2022 13H,11435
10/2/2022 12H,11079
10/2/2022 11H,10685
10/2/2022 10H,10490
10/2/2022 09H,10324
10/2/2022 08H,10338
10/2/2022 07H,10446
10/2/2022 06H,10577
10/2/2022 05H,10849
10/2/2022 04H,11269
10/2/2022 03H,11730
10/2/2022 02H,12281
10/2/2022 01H,12571
10/2/2022 00H,12631
10/1/2022 23H,12378
10/1/2022 22H,12309
10/1/2022 21H,12275
10/1/2022 20H,12297
10/1/2022 19H,12309
10/1/2022 18H,12398
10/1/2022 17H,12496
10/1/2022 16H,12573
10/1/2022 15H,12555
10/1/2022 14H,12399
10/1/2022 13H,12194
10/1/2022 12H,11802
10/1/2022 11H,11414
10/1/2022 10H,11113
10/1/2022 09H,10842
10/1/2022 08H,10800
10/1/2022 07H,10858
10/1/2022 06H,10964
10/1/2022 05H,11221
10/1/2022 04H,11667
10/1/2022 03H,12272
10/1/2022 02H,12834
10/1/2022 01H,13173
10/1/2022 00H,13213
09/30/2022 23H,13005
09/30/2022 22H,13056
09/30/2022 21H,13071
09/30/2022 20H,13027
09/30/2022 19H,13189
09/30/2022 18H,13451
09/30/2022 17H,13476
09/30/2022 16H,13631
09/30/2022 15H,13708
09/30/2022 14H,13781
09/30/2022 13H,13817
09/30/2022 12H,13713
09/30/2022 11H,13095
09/30/2022 10H,12088
09/30/2022 09H,11466
09/30/2022 08H,11267
09/30/2022 07H,11196
09/30/2022 06H,11268
09/30/2022 05H,11669
09/30/2022 04H,12056
09/30/2022 03H,12598
09/30/2022 02H,13143
09/30/2022 01H,13606
09/30/2022 00H,13622
09/29/2022 23H,13398
09/29/2022 22H,13204
09/29/2022 21H,13235
09/29/2022 20H,13273
09/29/2022 19H,13448
09/29/2022 18H,13803
09/29/2022 17H,13853
09/29/2022 16H,13887
09/29/2022 15H,13894
09/29/2022 14H,13893
09/29/2022 13H,13944
09/29/2022 12H,13895
09/29/2022 11H,13292
09/29/2022 10H,12158
09/29/2022 09H,11585
09/29/2022 08H,11327
09/29/2022 07H,11416
09/29/2022 06H,11397
09/29/2022 05H,11615
09/29/2022 04H,12142
09/29/2022 03H,12789
09/29/2022 02H,13455
09/29/2022 01H,13896
09/29/2022 00H,13747
09/28/2022 23H,13348
09/28/2022 22H,13223
09/28/2022 21H,13021
09/28/2022 20H,13167
09/28/2022 19H,13431
09/28/2022 18H,13533
09/28/2022 17H,13571
09/28/2022 16H,13705
09/28/2022 15H,13863
09/28/2022 14H,14002
09/28/2022 13H,13874
09/28/2022 12H,13776
